--- Starting Evaluation ---

Title	Install AIDE
Title	Enable Kernel Parameter to Enforce DAC on Symlinks
Rule	xccdf_org.ssgproject.content_rule_sysctl_fs_protected_symlinks
Result	pass

Title	Verify Group Who Owns /var/log Directory
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_var_log
Result	pass

Title	Verify Group Who Owns /var/log/messages File
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_var_log_messages
Result	pass

Title	Verify User Who Owns /var/log Directory
Rule	xccdf_org.ssgproject.content_rule_file_owner_var_log
Result	pass

Title	Verify User Who Owns /var/log/messages File
Rule	xccdf_org.ssgproject.content_rule_file_owner_var_log_messages
Result	pass

Title	Verify Permissions on /var/log Directory
Rule	xccdf_org.ssgproject.content_rule_file_permissions_var_log
Result	pass

Title	Verify Permissions on /var/log/messages File
Rule	xccdf_org.ssgproject.content_rule_file_permissions_var_log_messages
Result	pass

Title	Verify that Shared Library Directories Have Root Group Ownership
Rule	xccdf_org.ssgproject.content_rule_dir_group_ownership_library_dirs
Result	pass

Title	Verify that Shared Library Directories Have Root Ownership
Rule	xccdf_org.ssgproject.content_rule_dir_ownership_library_dirs
Result	pass

Title	Verify that Shared Library Directories Have Restrictive Permissions
Rule	xccdf_org.ssgproject.content_rule_dir_permissions_library_dirs
Result	pass

Title	Verify that system commands files are group owned by root or a system account
Rule	xccdf_org.ssgproject.content_rule_file_groupownership_system_commands_dirs
Result	pass

Title	Verify that System Executables Have Root Ownership
Rule	xccdf_org.ssgproject.content_rule_file_ownership_binary_dirs
Result	pass

Title	Verify that Shared Library Files Have Root Ownership
Rule	xccdf_org.ssgproject.content_rule_file_ownership_library_dirs
Result	pass

Title	Verify that System Executables Have Restrictive Permissions
Rule	xccdf_org.ssgproject.content_rule_file_permissions_binary_dirs
Result	pass

Title	Verify that Shared Library Files Have Restrictive Permissions
Rule	xccdf_org.ssgproject.content_rule_file_permissions_library_dirs
Result	pass

Title	Verify the system-wide library files in directories
"/lib", "/lib64", "/usr/lib/" and "/usr/lib64" are group-owned by root.
Rule	xccdf_org.ssgproject.content_rule_root_permissions_syslibrary_files
Result	pass

Title	Disable the Automounter
Rule	xccdf_org.ssgproject.content_rule_service_autofs_disabled
Result	notapplicable

Title	Disable Mounting of cramfs
Rule	xccdf_org.ssgproject.content_rule_kernel_module_cramfs_disabled
Result	fail

Title	Disable Modprobe Loading of USB Storage Driver
Rule	xccdf_org.ssgproject.content_rule_kernel_module_usb-storage_disabled
Result	fail

Title	Add nosuid Option to /boot/efi
Rule	xccdf_org.ssgproject.content_rule_mount_option_boot_efi_nosuid
Result	notapplicable

Title	Add nosuid Option to /boot
Rule	xccdf_org.ssgproject.content_rule_mount_option_boot_nosuid
Result	fail

Title	Add nodev Option to /dev/shm
Rule	xccdf_org.ssgproject.content_rule_mount_option_dev_shm_nodev
Result	fail

Title	Add noexec Option to /dev/shm
Rule	xccdf_org.ssgproject.content_rule_mount_option_dev_shm_noexec
Result	fail

Title	Add nosuid Option to /dev/shm
Rule	xccdf_org.ssgproject.content_rule_mount_option_dev_shm_nosuid
Result	fail

Title	Add noexec Option to /home
Rule	xccdf_org.ssgproject.content_rule_mount_option_home_noexec
Result	fail

Title	Add nosuid Option to /home
Rule	xccdf_org.ssgproject.content_rule_mount_option_home_nosuid
Result	fail

Title	Add nodev Option to Non-Root Local Partitions
Rule	xccdf_org.ssgproject.content_rule_mount_option_nodev_nonroot_local_partitions
Result	fail

Title	Add nodev Option to Removable Media Partitions
Rule	xccdf_org.ssgproject.content_rule_mount_option_nodev_removable_partitions
Result	pass

Title	Add noexec Option to Removable Media Partitions
Rule	xccdf_org.ssgproject.content_rule_mount_option_noexec_removable_partitions
Result	pass

Title	Add nosuid Option to Removable Media Partitions
Rule	xccdf_org.ssgproject.content_rule_mount_option_nosuid_removable_partitions
Result	pass

Title	Add nodev Option to /tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_tmp_nodev
Result	notapplicable

Title	Add noexec Option to /tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_tmp_noexec
Result	notapplicable

Title	Add nosuid Option to /tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_tmp_nosuid
Result	notapplicable

Title	Add nodev Option to /var/log/audit
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_audit_nodev
Result	notapplicable

Title	Add noexec Option to /var/log/audit
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_audit_noexec
Result	notapplicable

Title	Add nosuid Option to /var/log/audit
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_audit_nosuid
Result	notapplicable

Title	Add nodev Option to /var/log
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_nodev
Result	notapplicable

Title	Add noexec Option to /var/log
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_noexec
Result	notapplicable

Title	Add nosuid Option to /var/log
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_nosuid
Result	notapplicable

Title	Add nodev Option to /var/tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_tmp_nodev
Result	notapplicable

Title	Add noexec Option to /var/tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_tmp_noexec
Result	notapplicable

Title	Add nosuid Option to /var/tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_tmp_nosuid
Result	notapplicable

Title	Disable the uvcvideo module
Rule	xccdf_org.ssgproject.content_rule_kernel_module_uvcvideo_disabled
Result	fail

Title	Disable storing core dumps
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_core_pattern
Result	fail

Title	Restrict Access to Kernel Message Buffer
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_dmesg_restrict
Result	fail

Title	Disable Kernel Image Loading
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_kexec_load_disabled
Result	fail

Title	Disallow kernel profiling by unprivileged users
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_perf_event_paranoid
Result	fail

Title	Disable Access to Network bpf() Syscall From Unprivileged Processes
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_unprivileged_bpf_disabled
Result	pass

Title	Restrict usage of ptrace to descendant processes
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_yama_ptrace_scope
Result	fail

Title	Harden the operation of the BPF just-in-time compiler
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_core_bpf_jit_harden
Result	fail

Title	Disable the use of user namespaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_user_max_user_namespaces
Result	fail

Title	Disable acquiring, saving, and processing core dumps
Rule	xccdf_org.ssgproject.content_rule_service_systemd-coredump_disabled
Result	fail

Title	Disable core dump backtraces
Rule	xccdf_org.ssgproject.content_rule_coredump_disable_backtraces
Result	fail

Title	Disable storing core dump
Rule	xccdf_org.ssgproject.content_rule_coredump_disable_storage
Result	fail

Title	Disable Core Dumps for All Users
Rule	xccdf_org.ssgproject.content_rule_disable_users_coredumps
Result	fail

Title	Restrict Exposed Kernel Pointer Addresses Access
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_kptr_restrict
Result	pass

Title	Enable Randomized Layout of Virtual Address Space
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_randomize_va_space
Result	fail

Title	Enable NX or XD Support in the BIOS
Rule	xccdf_org.ssgproject.content_rule_bios_enable_execution_restrictions
Result	pass

Title	Enable page allocator poisoning
Rule	xccdf_org.ssgproject.content_rule_grub2_page_poison_argument
Result	fail

Title	Enable SLUB/SLAB allocator poisoning
Rule	xccdf_org.ssgproject.content_rule_grub2_slub_debug_argument
Result	fail

Title	Install policycoreutils Package
Rule	xccdf_org.ssgproject.content_rule_package_policycoreutils_installed
Result	pass

Title	Configure SELinux Policy
Rule	xccdf_org.ssgproject.content_rule_selinux_policytype
Result	pass

Title	Ensure SELinux State is Enforcing
Rule	xccdf_org.ssgproject.content_rule_selinux_state
Result	pass

Title	Map System Users To The Appropriate SELinux Role
Rule	xccdf_org.ssgproject.content_rule_selinux_user_login_roles
Result	notchecked

Title	Uninstall Automatic Bug Reporting Tool (abrt)
Rule	xccdf_org.ssgproject.content_rule_package_abrt_removed
Result	pass

Title	Disable KDump Kernel Crash Analyzer (kdump)
Rule	xccdf_org.ssgproject.content_rule_service_kdump_disabled
Result	fail

Title	Install fapolicyd Package
Rule	xccdf_org.ssgproject.content_rule_package_fapolicyd_installed
Result	fail

Title	Enable the File Access Policy Service
Rule	xccdf_org.ssgproject.content_rule_service_fapolicyd_enabled
Result	fail

Title	Configure Fapolicy Module to Employ a Deny-all, Permit-by-exception Policy to Allow the Execution of Authorized Software Programs.
Rule	xccdf_org.ssgproject.content_rule_fapolicy_default_deny
Result	fail

Title	Uninstall vsftpd Package
Rule	xccdf_org.ssgproject.content_rule_package_vsftpd_removed
Result	pass

Title	Remove the Kerberos Server Package
Rule	xccdf_org.ssgproject.content_rule_package_krb5-server_removed
Result	notapplicable

Title	Disable Kerberos by removing host keytab
Rule	xccdf_org.ssgproject.content_rule_kerberos_disable_no_keytab
Result	notapplicable

Title	The mailx Package Is Installed
Rule	xccdf_org.ssgproject.content_rule_package_mailx_installed
Result	fail

Title	Uninstall Sendmail Package
Rule	xccdf_org.ssgproject.content_rule_package_sendmail_removed
Result	pass

Title	Configure System to Forward All Mail From Postmaster to The Root Account
Rule	xccdf_org.ssgproject.content_rule_postfix_client_configure_mail_alias_postmaster
Result	pass

Title	Prevent Unrestricted Mail Relaying
Rule	xccdf_org.ssgproject.content_rule_postfix_prevent_unrestricted_relay
Result	notapplicable

Title	Mount Remote Filesystems with nodev
Rule	xccdf_org.ssgproject.content_rule_mount_option_nodev_remote_filesystems
Result	notapplicable

Title	Mount Remote Filesystems with noexec
Rule	xccdf_org.ssgproject.content_rule_mount_option_noexec_remote_filesystems
Result	notapplicable

Title	Mount Remote Filesystems with nosuid
Rule	xccdf_org.ssgproject.content_rule_mount_option_nosuid_remote_filesystems
Result	notapplicable

Title	Disable chrony daemon from acting as server
Rule	xccdf_org.ssgproject.content_rule_chronyd_client_only
Result	fail

Title	Disable network management of chrony daemon
Rule	xccdf_org.ssgproject.content_rule_chronyd_no_chronyc_network
Result	fail

Title	Configure Time Service Maxpoll Interval
Rule	xccdf_org.ssgproject.content_rule_chronyd_or_ntpd_set_maxpoll
Result	fail

Title	Ensure Chrony is only configured with the server directive
Rule	xccdf_org.ssgproject.content_rule_chronyd_server_directive
Result	fail

Title	Uninstall rsh-server Package
Rule	xccdf_org.ssgproject.content_rule_package_rsh-server_removed
Result	pass

Title	Remove Host-Based Authentication Files
Rule	xccdf_org.ssgproject.content_rule_no_host_based_files
Result	pass

Title	Remove User Host-Based Authentication Files
Rule	xccdf_org.ssgproject.content_rule_no_user_host_based_files
Result	pass

Title	Uninstall telnet-server Package
Rule	xccdf_org.ssgproject.content_rule_package_telnet-server_removed
Result	pass

Title	Uninstall tftp-server Package
Rule	xccdf_org.ssgproject.content_rule_package_tftp-server_removed
Result	pass

Title	Ensure tftp Daemon Uses Secure Mode
Rule	xccdf_org.ssgproject.content_rule_tftpd_uses_secure_mode
Result	notapplicable

Title	Enable the Hardware RNG Entropy Gatherer Service
Rule	xccdf_org.ssgproject.content_rule_service_rngd_enabled
Result	fail

Title	Install the OpenSSH Server Package
Rule	xccdf_org.ssgproject.content_rule_package_openssh-server_installed
Result	pass

Title	Enable the OpenSSH Service
Rule	xccdf_org.ssgproject.content_rule_service_sshd_enabled
Result	pass

Title	Verify Permissions on SSH Server Private *_key Key Files
Rule	xccdf_org.ssgproject.content_rule_file_permissions_sshd_private_key
Result	pass

Title	Verify Permissions on SSH Server Public *.pub Key Files
Rule	xccdf_org.ssgproject.content_rule_file_permissions_sshd_pub_key
Result	pass

Title	Verify the SSH Private Key Files Have a Passcode
Rule	xccdf_org.ssgproject.content_rule_ssh_keys_passphrase_protected
Result	notchecked

Title	Set SSH Client Alive Count Max
Rule	xccdf_org.ssgproject.content_rule_sshd_set_keepalive
Result	fail

Title	Set SSH Client Alive Interval
Rule	xccdf_org.ssgproject.content_rule_sshd_set_idle_timeout
Result	fail

Title	Disable SSH Access via Empty Passwords
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_empty_passwords
Result	fail

Title	Disable GSSAPI Authentication
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_gssapi_auth
Result	fail

Title	Disable Kerberos Authentication
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_kerb_auth
Result	fail

Title	Disable SSH Root Login
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_root_login
Result	fail

Title	Disable SSH Support for User Known Hosts
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_user_known_hosts
Result	fail

Title	Disable X11 Forwarding
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_x11_forwarding
Result	fail

Title	Do Not Allow SSH Environment Options
Rule	xccdf_org.ssgproject.content_rule_sshd_do_not_permit_user_env
Result	fail

Title	Enable Use of Strict Mode Checking
Rule	xccdf_org.ssgproject.content_rule_sshd_enable_strictmodes
Result	fail

Title	Enable SSH Warning Banner
Rule	xccdf_org.ssgproject.content_rule_sshd_enable_warning_banner
Result	fail

Title	Enable SSH Print Last Log
Rule	xccdf_org.ssgproject.content_rule_sshd_print_last_log
Result	fail

Title	Force frequent session key renegotiation
Rule	xccdf_org.ssgproject.content_rule_sshd_rekey_limit
Result	fail

Title	Use Only FIPS 140-2 Validated Key Exchange Algorithms
Rule	xccdf_org.ssgproject.content_rule_sshd_use_approved_kex_ordered_stig
Result	fail

Title	SSH server uses strong entropy to seed
Rule	xccdf_org.ssgproject.content_rule_sshd_use_strong_rng
Result	fail

Title	Prevent remote hosts from connecting to the proxy display
Rule	xccdf_org.ssgproject.content_rule_sshd_x11_use_localhost
Result	fail

Title	Certificate status checking in SSSD
Rule	xccdf_org.ssgproject.content_rule_sssd_certificate_verification
Result	fail

Title	Enable Certmap in SSSD
Rule	xccdf_org.ssgproject.content_rule_sssd_enable_certmap
Result	fail

Title	Enable Smartcards in SSSD
Rule	xccdf_org.ssgproject.content_rule_sssd_enable_smartcards
Result	fail

Title	SSSD Has a Correct Trust Anchor
Rule	xccdf_org.ssgproject.content_rule_sssd_has_trust_anchor
Result	notchecked

Title	Configure SSSD to Expire Offline Credentials
Rule	xccdf_org.ssgproject.content_rule_sssd_offline_cred_expiration
Result	pass

Title	Install usbguard Package
Rule	xccdf_org.ssgproject.content_rule_package_usbguard_installed
Result	fail

Title	Enable the USBGuard Service
Rule	xccdf_org.ssgproject.content_rule_service_usbguard_enabled
Result	fail

Title	Log USBGuard daemon audit events using Linux Audit
Rule	xccdf_org.ssgproject.content_rule_configure_usbguard_auditbackend
Result	notapplicable

Title	Generate USBGuard Policy
Rule	xccdf_org.ssgproject.content_rule_usbguard_generate_policy
Result	fail

Title	Ensure the audit Subsystem is Installed
Rule	xccdf_org.ssgproject.content_rule_package_audit_installed
Result	pass

Title	Enable auditd Service
Rule	xccdf_org.ssgproject.content_rule_service_auditd_enabled
Result	pass

Title	Enable Auditing for Processes Which Start Prior to the Audit Daemon
Rule	xccdf_org.ssgproject.content_rule_grub2_audit_argument
Result	fail

Title	Extend Audit Backlog Limit for the Audit Daemon
Rule	xccdf_org.ssgproject.content_rule_grub2_audit_backlog_limit_argument
Result	fail

Title	Make the auditd Configuration Immutable
Rule	xccdf_org.ssgproject.content_rule_audit_rules_immutable
Result	fail

Title	Configure immutable Audit login UIDs
Rule	xccdf_org.ssgproject.content_rule_audit_rules_immutable_login_uids
Result	fail

Title	Ensure auditd Collects Information on Exporting to Media (successful)
Rule	xccdf_org.ssgproject.content_rule_audit_rules_media_export
Result	fail

Title	Ensure auditd Collects System Administrator Actions - /etc/sudoers
Rule	xccdf_org.ssgproject.content_rule_audit_rules_sudoers
Result	fail

Title	Ensure auditd Collects System Administrator Actions - /etc/sudoers.d/
Rule	xccdf_org.ssgproject.content_rule_audit_rules_sudoers_d
Result	fail

Title	Record Events When Privileged Executables Are Run
Rule	xccdf_org.ssgproject.content_rule_audit_rules_suid_privilege_function
Result	fail

Title	Record Events that Modify User/Group Information - /etc/group
Rule	xccdf_org.ssgproject.content_rule_audit_rules_usergroup_modification_group
Result	fail

Title	Record Events that Modify User/Group Information - /etc/gshadow
Rule	xccdf_org.ssgproject.content_rule_audit_rules_usergroup_modification_gshadow
Result	fail

Title	Record Events that Modify User/Group Information - /etc/security/opasswd
Rule	xccdf_org.ssgproject.content_rule_audit_rules_usergroup_modification_opasswd
Result	fail

Title	Record Events that Modify User/Group Information - /etc/passwd
Rule	xccdf_org.ssgproject.content_rule_audit_rules_usergroup_modification_passwd
Result	fail

Title	Record Events that Modify User/Group Information - /etc/shadow
Rule	xccdf_org.ssgproject.content_rule_audit_rules_usergroup_modification_shadow
Result	fail

Title	System Audit Directories Must Be Group Owned By Root
Rule	xccdf_org.ssgproject.content_rule_directory_group_ownership_var_log_audit
Result	pass

Title	System Audit Directories Must Be Owned By Root
Rule	xccdf_org.ssgproject.content_rule_directory_ownership_var_log_audit
Result	pass

Title	System Audit Logs Must Have Mode 0750 or Less Permissive
Rule	xccdf_org.ssgproject.content_rule_directory_permissions_var_log_audit
Result	pass

Title	System Audit Logs Must Be Group Owned By Root
Rule	xccdf_org.ssgproject.content_rule_file_group_ownership_var_log_audit
Result	pass

Title	System Audit Logs Must Be Owned By Root
Rule	xccdf_org.ssgproject.content_rule_file_ownership_var_log_audit_stig
Result	pass

Title	System Audit Logs Must Have Mode 0640 or Less Permissive
Rule	xccdf_org.ssgproject.content_rule_file_permissions_var_log_audit
Result	pass

Title	Record Events that Modify the System's Discretionary Access Controls - chmod
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_chmod
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - chown
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_chown
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - fchmod
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_fchmod
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - fchmodat
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_fchmodat
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - fchown
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_fchown
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - fchownat
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_fchownat
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - fremovexattr
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_fremovexattr
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - fsetxattr
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_fsetxattr
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - lchown
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_lchown
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - lremovexattr
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_lremovexattr
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - lsetxattr
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_lsetxattr
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - removexattr
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_removexattr
Result	fail

Title	Record Events that Modify the System's Discretionary Access Controls - setxattr
Rule	xccdf_org.ssgproject.content_rule_audit_rules_dac_modification_setxattr
Result	fail

Title	Record Any Attempts to Run chacl
Rule	xccdf_org.ssgproject.content_rule_audit_rules_execution_chacl
Result	fail

Title	Record Any Attempts to Run setfacl
Rule	xccdf_org.ssgproject.content_rule_audit_rules_execution_setfacl
Result	fail

Title	Record Any Attempts to Run chcon
Rule	xccdf_org.ssgproject.content_rule_audit_rules_execution_chcon
Result	fail

Title	Record Any Attempts to Run semanage
Rule	xccdf_org.ssgproject.content_rule_audit_rules_execution_semanage
Result	fail

Title	Record Any Attempts to Run setfiles
Rule	xccdf_org.ssgproject.content_rule_audit_rules_execution_setfiles
Result	fail

Title	Record Any Attempts to Run setsebool
Rule	xccdf_org.ssgproject.content_rule_audit_rules_execution_setsebool
Result	fail

Title	Ensure auditd Collects File Deletion Events by User - rename
Rule	xccdf_org.ssgproject.content_rule_audit_rules_file_deletion_events_rename
Result	fail

Title	Ensure auditd Collects File Deletion Events by User - renameat
Rule	xccdf_org.ssgproject.content_rule_audit_rules_file_deletion_events_renameat
Result	fail

Title	Ensure auditd Collects File Deletion Events by User - rmdir
Rule	xccdf_org.ssgproject.content_rule_audit_rules_file_deletion_events_rmdir
Result	fail

Title	Ensure auditd Collects File Deletion Events by User - unlink
Rule	xccdf_org.ssgproject.content_rule_audit_rules_file_deletion_events_unlink
Result	fail

Title	Ensure auditd Collects File Deletion Events by User - unlinkat
Rule	xccdf_org.ssgproject.content_rule_audit_rules_file_deletion_events_unlinkat
Result	fail

Title	Record Unsuccessful Access Attempts to Files - creat
Rule	xccdf_org.ssgproject.content_rule_audit_rules_unsuccessful_file_modification_creat
Result	fail

Title	Record Unsuccessful Access Attempts to Files - ftruncate
Rule	xccdf_org.ssgproject.content_rule_audit_rules_unsuccessful_file_modification_ftruncate
Result	fail

Title	Record Unsuccessful Access Attempts to Files - open
Rule	xccdf_org.ssgproject.content_rule_audit_rules_unsuccessful_file_modification_open
Result	fail

Title	Record Unsuccessful Access Attempts to Files - open_by_handle_at
Rule	xccdf_org.ssgproject.content_rule_audit_rules_unsuccessful_file_modification_open_by_handle_at
Result	fail

Title	Record Unsuccessful Access Attempts to Files - openat
Rule	xccdf_org.ssgproject.content_rule_audit_rules_unsuccessful_file_modification_openat
Result	fail

Title	Record Unsuccessful Access Attempts to Files - truncate
Rule	xccdf_org.ssgproject.content_rule_audit_rules_unsuccessful_file_modification_truncate
Result	fail

Title	Ensure auditd Collects Information on Kernel Module Unloading - delete_module
Rule	xccdf_org.ssgproject.content_rule_audit_rules_kernel_module_loading_delete
Result	fail

Title	Ensure auditd Collects Information on Kernel Module Loading and Unloading - finit_module
Rule	xccdf_org.ssgproject.content_rule_audit_rules_kernel_module_loading_finit
Result	fail

Title	Ensure auditd Collects Information on Kernel Module Loading - init_module
Rule	xccdf_org.ssgproject.content_rule_audit_rules_kernel_module_loading_init
Result	fail

Title	Record Attempts to Alter Logon and Logout Events - faillock
Rule	xccdf_org.ssgproject.content_rule_audit_rules_login_events_faillock
Result	fail

Title	Record Attempts to Alter Logon and Logout Events - lastlog
Rule	xccdf_org.ssgproject.content_rule_audit_rules_login_events_lastlog
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - chage
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_chage
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - chsh
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_chsh
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - crontab
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_crontab
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - gpasswd
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_gpasswd
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - kmod
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_kmod
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - mount
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_mount
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - newgrp
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_newgrp
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - pam_timestamp_check
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_pam_timestamp_check
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - passwd
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_passwd
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - postdrop
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_postdrop
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - postqueue
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_postqueue
Result	fail

Title	Record Any Attempts to Run ssh-agent
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_ssh_agent
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - ssh-keysign
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_ssh_keysign
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - su
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_su
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - sudo
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_sudo
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - umount
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_umount
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - unix_chkpwd
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_unix_chkpwd
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - unix_update
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_unix_update
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - userhelper
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_userhelper
Result	fail

Title	Ensure auditd Collects Information on the Use of Privileged Commands - usermod
Rule	xccdf_org.ssgproject.content_rule_audit_rules_privileged_commands_usermod
Result	fail

Title	Configure a Sufficiently Large Partition for Audit Logs
Rule	xccdf_org.ssgproject.content_rule_auditd_audispd_configure_sufficiently_large_partition
Result	notchecked

Title	Configure auditd Disk Error Action on Disk Error
Rule	xccdf_org.ssgproject.content_rule_auditd_data_disk_error_action
Result	fail

Title	Configure auditd Disk Full Action when Disk Space Is Full
Rule	xccdf_org.ssgproject.content_rule_auditd_data_disk_full_action
Result	fail

Title	Configure auditd mail_acct Action on Low Disk Space
Rule	xccdf_org.ssgproject.content_rule_auditd_data_retention_action_mail_acct
Result	pass

Title	Configure auditd space_left Action on Low Disk Space
Rule	xccdf_org.ssgproject.content_rule_auditd_data_retention_space_left_action
Result	fail

Title	Configure auditd space_left on Low Disk Space
Rule	xccdf_org.ssgproject.content_rule_auditd_data_retention_space_left_percentage
Result	fail

Title	Include Local Events in Audit Logs
Rule	xccdf_org.ssgproject.content_rule_auditd_local_events
Result	pass

Title	Resolve information before writing to audit logs
Rule	xccdf_org.ssgproject.content_rule_auditd_log_format
Result	pass

Title	Set type of computer node name logging in audit logs
Rule	xccdf_org.ssgproject.content_rule_auditd_name_format
Result	fail

Title	Appropriate Action Must be Setup When the Internal Audit Event Queue is Full
Rule	xccdf_org.ssgproject.content_rule_auditd_overflow_action
Result	pass

